loan_id,issue_date,region,property_type,loan_amount,appraised_value,interest_rate,loan_term_months,borrower_age,monthly_income,housing_fund_contribution,employment_length_years,credit_score,delinquency_history,co_borrower,has_mortgage_insurance,collateral_value,predicted_collateral_value,predicted_ltv,risk_level
127,2017-03-14,滨江,排屋,759866.8,949554.63,3.3141,126,28,16617.43,1391.25,20,746,1,1,1,936565.91,1014744.64,0.7488,中风险
128,2017-05-10,江南,别墅,583038.66,621327.2,2.8926,190,49,14992.57,1668.77,12,708,1,1,0,621931.28,638042.79,0.9138,高风险
129,2017-07-11,萧山,商住两用,1144781.12,1340482.0,4.1088,232,44,18918.49,2136.68,21,649,0,0,1,1538704.98,1439878.58,0.7951,中风险
130,2019-04-11,滨江,商住两用,688534.2,941517.17,3.2876,149,35,23766.81,2420.06,22,593,1,0,1,937324.24,1000787.16,0.688,中风险
131,2017-11-10,萧山,排屋,557180.74,722328.19,3.8517,322,47,8218.95,983.22,16,785,0,1,0,755017.08,753671.45,0.7393,中风险
132,2019-10-02,滨江,排屋,871955.89,1125053.33,3.7318,312,44,34971.5,3399.87,1,630,0,0,1,1262603.64,1201909.58,0.7255,中风险
133,2018-01-16,江北,别墅,422458.37,501537.91,4.283,149,32,16449.86,1541.72,26,685,0,1,1,508540.58,515800.12,0.819,高风险
134,2017-12-04,滨江,排屋,342133.41,394953.71,2.7914,324,33,33897.67,3715.85,17,669,0,1,1,363223.28,390302.54,0.8766,高风险
135,2017-11-22,江北,别墅,743491.76,753258.66,3.6747,170,51,23766.09,2270.93,23,689,0,0,0,785125.17,781811.14,0.951,高风险
136,2019-08-17,江北,排屋,1266598.07,1445228.74,3.2801,220,30,16437.74,1870.96,20,668,1,1,0,1567214.64,1545668.13,0.8195,高风险
137,2018-02-06,滨江,公寓,685839.95,729467.15,3.2798,272,31,23244.18,2252.86,16,855,0,0,0,809840.8,763826.47,0.8979,高风险
138,2018-01-16,江北,别墅,453804.02,620280.74,4.2867,249,54,18274.03,1821.35,23,807,0,0,0,672803.69,649324.98,0.6989,中风险
139,2017-09-10,江南,别墅,484844.8,584623.25,3.8994,316,54,22491.79,1901.2,4,717,1,1,0,631177.3,597310.85,0.8117,高风险
140,2017-08-09,江南,排屋,661605.44,904763.87,3.3684,150,38,12296.35,1346.51,23,759,1,1,0,965287.07,962707.32,0.6872,中风险
141,2017-10-12,江南,排屋,841635.18,1067686.57,2.8947,300,41,14680.0,1331.38,28,843,1,0,0,1204157.36,1135862.67,0.741,中风险
142,2017-03-23,萧山,商住两用,635654.78,706466.49,4.0762,220,54,10265.15,1080.88,21,792,0,0,0,748282.43,738627.03,0.8606,高风险
143,2018-06-19,临平,排屋,322423.62,434743.4,3.8823,307,52,25045.22,2702.17,28,612,1,1,0,443167.25,427628.2,0.754,中风险
144,2019-08-26,江南,别墅,656864.83,858619.79,2.6847,145,52,6488.44,760.3,6,805,0,1,0,925572.35,910452.08,0.7215,中风险
145,2017-11-12,江南,商住两用,565381.49,659986.61,4.1817,162,26,17890.25,1649.85,23,699,0,0,0,636591.53,684530.93,0.8259,高风险
146,2017-01-23,江南,排屋,656702.67,692340.08,4.1056,297,31,20331.01,1812.67,3,632,0,1,1,735383.29,714934.64,0.9185,高风险
147,2017-09-19,江南,排屋,328305.25,424337.52,3.3702,304,36,24842.4,2137.81,14,806,1,0,0,410350.02,425682.86,0.7712,中风险
148,2018-11-03,江南,商住两用,563203.69,715521.89,3.8621,192,24,31436.76,3342.87,10,685,0,0,1,768823.01,759250.07,0.7418,中风险
149,2018-02-08,江南,公寓,809590.89,1025968.95,3.5245,123,46,34017.73,2901.01,28,795,0,0,1,1028309.84,1104160.72,0.7332,中风险
150,2017-07-17,江南,别墅,600758.04,793410.99,3.9424,228,48,8472.83,859.68,20,658,0,1,0,837091.6,826485.59,0.7269,中风险
151,2018-10-21,江南,公寓,1067959.65,1380260.73,3.7255,199,50,27898.75,3176.52,2,705,0,1,0,1442455.34,1490614.63,0.7165,中风险
152,2017-12-05,临平,公寓,1007469.62,1081745.0,4.2678,253,39,11008.89,936.61,25,717,1,0,1,1237978.78,1151072.7,0.8752,高风险
153,2018-12-19,江南,公寓,934982.18,1143732.29,3.4939,134,54,31780.79,2754.61,6,710,1,0,0,1310081.84,1224409.98,0.7636,中风险
154,2018-06-13,江南,排屋,1221822.01,1320218.3,4.2806,129,49,12735.46,1145.31,30,743,0,0,1,1354913.93,1420392.4,0.8602,高风险
155,2019-01-13,江南,排屋,387547.91,468658.73,3.094,336,42,15819.03,1615.5,1,768,0,1,0,451360.14,469073.03,0.8262,高风险
156,2017-01-14,滨江,商住两用,343432.05,427124.84,3.7129,297,23,34529.71,2764.4,22,772,1,0,0,424311.34,425394.0,0.8073,高风险
157,2017-03-23,江南,别墅,594228.77,605967.83,3.0051,336,49,27025.41,2564.7,24,623,0,0,1,534805.89,611257.71,0.9721,高风险
158,2018-06-26,滨江,公寓,705093.62,969048.89,3.1709,235,40,13008.34,1531.63,5,635,0,0,1,1089182.86,1030022.06,0.6845,中风险
159,2019-06-25,江北,别墅,523483.5,596110.8,3.0638,150,28,10728.46,1152.69,27,600,0,1,0,635301.59,600525.81,0.8717,高风险
160,2018-03-01,滨江,别墅,1253054.67,1734942.65,3.5729,260,38,8841.76,743.38,26,651,0,0,0,1826599.87,1867012.51,0.6712,中风险
161,2019-11-21,滨江,商住两用,402358.64,508482.11,4.2055,139,24,35914.84,3157.27,21,807,1,1,0,628392.83,530435.44,0.7585,中风险
162,2018-01-13,江北,公寓,989548.66,1066499.17,2.9758,167,40,14395.64,1660.35,2,705,0,1,1,1226493.91,1137266.29,0.8701,高风险
163,2018-07-05,萧山,排屋,730850.12,942207.33,3.9951,183,24,35682.11,3970.58,12,825,0,1,1,1023685.69,1023894.7,0.7138,中风险
164,2017-05-02,萧山,排屋,1112480.81,1348613.73,3.2255,269,37,35219.4,2958.62,22,703,0,0,0,1566471.77,1437363.3,0.774,中风险
165,2017-04-19,江北,排屋,631644.28,841443.22,3.2279,271,24,27103.59,2549.56,19,652,0,0,1,927276.77,884793.2,0.7139,中风险
166,2019-04-01,江北,别墅,835919.54,836176.65,4.2063,171,31,16222.77,1412.98,26,745,0,0,0,870840.75,875959.7,0.9543,高风险
167,2019-11-13,萧山,排屋,894296.33,1029739.73,3.1646,160,50,29755.28,3523.81,21,742,0,1,0,1066191.41,1099627.46,0.8133,高风险
168,2017-12-01,江北,排屋,1249812.34,1783374.94,3.2853,317,25,11462.45,1062.9,26,693,0,0,1,1982883.17,1929540.85,0.6477,中风险
169,2018-06-06,江南,商住两用,943463.03,1352346.55,4.0379,291,44,19398.9,1757.71,8,614,0,0,0,1405374.69,1446454.84,0.6523,中风险
170,2018-07-12,萧山,排屋,855103.49,894132.85,3.4391,341,37,10879.7,902.45,28,597,0,1,1,898585.01,923174.63,0.9263,高风险
171,2018-03-24,滨江,别墅,393502.37,560278.66,4.3116,206,53,27135.14,2638.97,21,664,0,1,0,490448.38,575857.01,0.6833,中风险
172,2019-05-10,江南,排屋,552797.32,565144.57,3.6006,335,54,10607.7,1001.72,14,624,0,1,0,655100.55,559896.33,0.9873,高风险
173,2019-05-03,滨江,别墅,784099.24,824855.94,3.9735,240,54,32846.32,2975.88,21,858,0,1,1,833568.62,879046.69,0.892,高风险
174,2017-05-19,临平,排屋,380406.58,509176.42,3.7681,141,45,30245.4,2920.48,25,696,0,1,1,573368.7,528291.17,0.7201,中风险
175,2018-05-03,临平,别墅,706908.28,978553.99,2.6608,266,32,9608.46,1059.69,6,665,2,1,0,1092347.86,1032455.48,0.6847,中风险
176,2018-12-26,江北,公寓,385671.71,453027.2,3.2954,203,40,21590.65,2519.34,1,847,1,0,0,467358.02,471705.89,0.8176,高风险
177,2018-09-12,江北,别墅,1180335.69,1320632.14,3.7459,266,53,7123.97,648.4,5,785,0,1,0,1491417.2,1411629.92,0.8362,高风险
178,2018-05-09,江南,商住两用,1145989.64,1588577.31,3.7985,342,37,10031.57,1193.44,15,744,0,1,0,1693996.12,1712853.61,0.6691,中风险
179,2019-08-25,滨江,公寓,826171.39,965182.65,2.6984,322,33,7968.51,863.65,13,649,1,0,0,1003114.31,1006026.37,0.8212,高风险
180,2018-12-07,萧山,公寓,588497.95,806582.24,3.484,282,30,26435.23,2370.65,16,808,0,1,1,813657.79,857570.23,0.6862,中风险
